session_id,user_id,region,user_segment,device,variant,peak_hour,rainy_weather,basket_size,order_subtotal,delivery_fee,checkout_started,converted_order,tipped,tip_pct,tip_amount,driver_accepted
TIP-00108,USR-0108,west,power_user,web,treatment,0,0,4,44.84,2.91,1,0,0,0.0,0.0,0
TIP-00109,USR-0109,north,new_user,ios,treatment,0,0,1,19.46,2.77,1,1,1,0.1327,2.58,0
TIP-00110,USR-0110,south,casual,android,control,0,0,2,21.12,3.21,1,0,0,0.0,0.0,0
TIP-00111,USR-0111,east,power_user,web,control,1,0,3,25.29,3.67,1,0,0,0.0,0.0,0
TIP-00112,USR-0112,west,new_user,ios,treatment,1,0,4,27.04,2.86,1,1,1,0.1638,4.43,1
TIP-00113,USR-0113,north,casual,android,control,0,1,1,30.3,3.26,1,0,0,0.0,0.0,0
TIP-00114,USR-0114,south,power_user,web,control,0,0,2,33.34,3.16,1,0,0,0.0,0.0,0
TIP-00115,USR-0115,east,new_user,ios,treatment,0,0,3,36.37,3.39,1,0,0,0.0,0.0,0
TIP-00116,USR-0116,west,casual,android,treatment,1,0,4,39.55,2.87,1,1,0,0.0,0.0,0
TIP-00117,USR-0117,north,power_user,web,control,1,0,1,43.67,3.63,1,1,0,0.0,0.0,1
TIP-00118,USR-0118,south,new_user,ios,treatment,0,0,2,17.13,3.34,1,0,0,0.0,0.0,0
TIP-00119,USR-0119,east,casual,android,treatment,0,0,3,21.92,2.62,1,0,0,0.0,0.0,0
TIP-00120,USR-0120,west,power_user,web,control,0,1,4,25.7,2.87,1,1,1,0.1448,3.72,1
TIP-00121,USR-0121,north,new_user,ios,control,1,0,1,29.12,3.74,1,1,0,0.0,0.0,1
TIP-00122,USR-0122,south,casual,android,treatment,1,0,2,32.25,3.62,1,1,0,0.0,0.0,0
TIP-00123,USR-0123,east,power_user,web,control,0,0,3,33.66,3.38,1,1,1,0.133,4.48,1
TIP-00124,USR-0124,west,new_user,ios,control,0,0,4,36.86,3.43,1,0,0,0.0,0.0,0
TIP-00125,USR-0125,north,casual,android,treatment,0,0,1,39.48,3.46,1,1,1,0.1366,5.39,1
TIP-00126,USR-0126,south,power_user,web,treatment,1,0,2,42.49,3.78,1,1,1,0.1549,6.58,1
TIP-00127,USR-0127,east,new_user,ios,control,1,1,3,19.62,3.61,1,1,1,0.1611,3.16,1
TIP-00128,USR-0128,west,casual,android,treatment,0,0,4,22.3,3.03,1,0,0,0.0,0.0,0
TIP-00129,USR-0129,north,power_user,web,treatment,0,0,1,25.41,3.2,1,1,0,0.0,0.0,1
TIP-00130,USR-0130,south,new_user,ios,control,0,0,2,27.11,3.25,1,1,0,0.0,0.0,1
TIP-00131,USR-0131,east,casual,android,control,1,0,3,31.3,3.31,1,0,0,0.0,0.0,0
TIP-00132,USR-0132,west,power_user,web,treatment,1,0,4,33.86,3.61,1,1,1,0.1336,4.52,1
TIP-00133,USR-0133,north,new_user,ios,control,0,0,1,36.38,3.08,1,0,0,0.0,0.0,0
TIP-00134,USR-0134,south,casual,android,control,0,1,2,39.79,2.73,1,1,0,0.0,0.0,0
TIP-00135,USR-0135,east,power_user,web,treatment,0,0,3,44.08,2.8,1,1,1,0.1315,5.8,1
TIP-00136,USR-0136,west,new_user,ios,treatment,1,0,4,16.85,3.43,1,1,0,0.0,0.0,1
TIP-00137,USR-0137,north,casual,android,control,1,0,1,22.23,2.98,1,0,0,0.0,0.0,0
TIP-00138,USR-0138,south,power_user,web,treatment,0,0,2,24.77,3.45,1,1,1,0.1352,3.35,1
TIP-00139,USR-0139,east,new_user,ios,treatment,0,0,3,26.56,3.53,1,1,0,0.0,0.0,1
TIP-00140,USR-0140,west,casual,android,control,0,0,4,29.84,3.18,1,1,1,0.148,4.42,1
TIP-00141,USR-0141,north,power_user,web,control,1,1,1,35.98,2.97,1,0,0,0.0,0.0,0
TIP-00142,USR-0142,south,new_user,ios,treatment,1,0,2,37.94,3.71,1,1,1,0.1358,5.15,1
TIP-00143,USR-0143,east,casual,android,control,0,0,3,41.95,3.58,1,1,0,0.0,0.0,1
TIP-00144,USR-0144,west,power_user,web,control,0,0,4,44.77,3.53,1,1,1,0.1533,6.86,1
TIP-00145,USR-0145,north,new_user,ios,treatment,0,0,1,17.36,2.57,1,1,1,0.1357,2.36,1
TIP-00146,USR-0146,south,casual,android,treatment,1,0,2,20.74,3.62,1,0,0,0.0,0.0,0
TIP-00147,USR-0147,east,power_user,web,control,1,0,3,24.65,3.6,1,0,0,0.0,0.0,0
TIP-00148,USR-0148,west,new_user,ios,treatment,0,1,4,28.92,3.18,1,0,0,0.0,0.0,0
TIP-00149,USR-0149,north,casual,android,treatment,0,0,1,32.59,2.96,1,1,0,0.0,0.0,0
TIP-00150,USR-0150,south,power_user,web,control,0,0,2,35.45,2.57,1,1,1,0.1422,5.04,1
TIP-00151,USR-0151,east,new_user,ios,control,1,0,3,36.92,2.98,1,0,0,0.0,0.0,0
TIP-00152,USR-0152,west,casual,android,treatment,1,0,4,41.44,3.88,1,1,1,0.1314,5.45,1
TIP-00153,USR-0153,north,power_user,web,control,0,0,1,43.78,2.84,1,1,1,0.1459,6.39,0
TIP-00154,USR-0154,south,new_user,ios,control,0,0,2,18.64,3.54,1,0,0,0.0,0.0,0
TIP-00155,USR-0155,east,casual,android,treatment,0,1,3,22.15,2.79,1,1,0,0.0,0.0,1
TIP-00156,USR-0156,west,power_user,web,treatment,1,0,4,25.28,3.85,1,1,1,0.1619,4.09,1
TIP-00157,USR-0157,north,new_user,ios,control,1,0,1,26.69,3.22,1,1,0,0.0,0.0,0
TIP-00158,USR-0158,south,casual,android,treatment,0,0,2,30.66,3.25,1,1,0,0.0,0.0,0
TIP-00159,USR-0159,east,power_user,web,treatment,0,0,3,34.56,2.99,1,1,1,0.1724,5.96,1
TIP-00160,USR-0160,west,new_user,ios,control,0,0,4,37.65,3.58,1,0,0,0.0,0.0,0
TIP-00161,USR-0161,north,casual,android,control,1,0,1,40.94,3.29,1,1,1,0.1346,5.51,1
TIP-00162,USR-0162,south,power_user,web,treatment,1,1,2,44.83,3.06,1,1,0,0.0,0.0,1
TIP-00163,USR-0163,east,new_user,ios,control,0,0,3,19.03,2.62,1,0,0,0.0,0.0,0
TIP-00164,USR-0164,west,casual,android,control,0,0,4,21.95,2.75,1,1,1,0.1474,3.24,1
TIP-00165,USR-0165,north,power_user,web,treatment,0,0,1,26.38,3.49,1,1,1,0.1488,3.93,1
TIP-00166,USR-0166,south,new_user,ios,treatment,1,0,2,28.69,3.4,1,1,0,0.0,0.0,0
TIP-00167,USR-0167,east,casual,android,control,1,0,3,30.38,3.45,1,1,0,0.0,0.0,1
TIP-00168,USR-0168,west,power_user,web,treatment,0,0,4,35.61,3.44,1,1,0,0.0,0.0,1
TIP-00169,USR-0169,north,new_user,ios,treatment,0,1,1,38.99,3.05,1,0,0,0.0,0.0,0
TIP-00170,USR-0170,south,casual,android,control,0,0,2,40.11,2.82,1,1,0,0.0,0.0,1
TIP-00171,USR-0171,east,power_user,web,control,1,0,3,42.88,3.43,1,1,1,0.1389,5.96,1
TIP-00172,USR-0172,west,new_user,ios,treatment,1,0,4,17.83,3.05,1,0,0,0.0,0.0,0
TIP-00173,USR-0173,north,casual,android,control,0,0,1,21.83,2.75,1,0,0,0.0,0.0,0
TIP-00174,USR-0174,south,power_user,web,control,0,0,2,23.34,3.31,1,0,0,0.0,0.0,0
TIP-00175,USR-0175,east,new_user,ios,treatment,0,0,3,29.0,2.91,1,0,0,0.0,0.0,0
TIP-00176,USR-0176,west,casual,android,treatment,1,1,4,32.23,3.92,1,1,1,0.1546,4.98,1
TIP-00177,USR-0177,north,power_user,web,control,1,0,1,35.58,3.8,1,1,1,0.1181,4.2,1
TIP-00178,USR-0178,south,new_user,ios,treatment,0,0,2,37.31,3.21,1,1,1,0.1643,6.13,1
TIP-00179,USR-0179,east,casual,android,treatment,0,0,3,41.42,3.2,1,0,0,0.0,0.0,0
TIP-00180,USR-0180,west,power_user,web,control,0,0,4,45.13,3.44,1,1,1,0.1565,7.06,1
TIP-00181,USR-0181,north,new_user,ios,control,1,0,1,19.59,2.88,1,1,0,0.0,0.0,0
TIP-00182,USR-0182,south,casual,android,treatment,1,0,2,23.19,3.66,1,1,1,0.1459,3.38,0
TIP-00183,USR-0183,east,power_user,web,control,0,1,3,24.62,3.25,1,0,0,0.0,0.0,0
TIP-00184,USR-0184,west,new_user,ios,control,0,0,4,26.55,3.37,1,1,1,0.125,3.32,1
TIP-00185,USR-0185,north,casual,android,treatment,0,0,1,31.41,3.36,1,1,1,0.1509,4.74,1
TIP-00186,USR-0186,south,power_user,web,treatment,1,0,2,33.57,3.84,1,1,1,0.125,4.2,1
TIP-00187,USR-0187,east,new_user,ios,control,1,0,3,36.03,3.73,1,0,0,0.0,0.0,0
TIP-00188,USR-0188,west,casual,android,treatment,0,0,4,41.37,2.66,1,1,1,0.1593,6.59,1
TIP-00189,USR-0189,north,power_user,web,treatment,0,0,1,43.76,2.77,1,0,0,0.0,0.0,0
TIP-00190,USR-0190,south,new_user,ios,control,0,1,2,17.44,2.91,1,1,1,0.1325,2.31,1
TIP-00191,USR-0191,east,casual,android,control,1,0,3,23.18,3.16,1,0,0,0.0,0.0,0
TIP-00192,USR-0192,west,power_user,web,treatment,1,0,4,25.31,3.14,1,1,1,0.168,4.25,1
TIP-00193,USR-0193,north,new_user,ios,control,0,0,1,28.34,3.04,1,0,0,0.0,0.0,0
TIP-00194,USR-0194,south,casual,android,control,0,0,2,30.52,3.37,1,0,0,0.0,0.0,0
TIP-00195,USR-0195,east,power_user,web,treatment,0,0,3,33.93,3.19,1,1,1,0.1587,5.38,1
TIP-00196,USR-0196,west,new_user,ios,treatment,1,0,4,38.68,3.53,1,0,0,0.0,0.0,0
TIP-00197,USR-0197,north,casual,android,control,1,1,1,41.27,3.18,1,1,1,0.1333,5.5,1
TIP-00198,USR-0198,south,power_user,web,treatment,0,0,2,43.34,3.31,1,1,1,0.1407,6.1,0
TIP-00199,USR-0199,east,new_user,ios,treatment,0,0,3,18.5,3.49,1,0,0,0.0,0.0,0
TIP-00200,USR-0200,west,casual,android,control,0,0,4,20.82,3.4,1,1,0,0.0,0.0,0
TIP-00201,USR-0201,north,power_user,web,control,1,0,1,24.28,2.97,1,0,0,0.0,0.0,0
TIP-00202,USR-0202,south,new_user,ios,treatment,1,0,2,26.85,3.9,1,0,0,0.0,0.0,0
TIP-00203,USR-0203,east,casual,android,control,0,0,3,31.92,3.57,1,0,0,0.0,0.0,0
TIP-00204,USR-0204,west,power_user,web,control,0,1,4,35.37,2.89,1,0,0,0.0,0.0,0
TIP-00205,USR-0205,north,new_user,ios,treatment,0,0,1,36.04,3.08,1,1,0,0.0,0.0,1
TIP-00206,USR-0206,south,casual,android,treatment,1,0,2,41.07,3.74,1,0,0,0.0,0.0,0
TIP-00207,USR-0207,east,power_user,web,control,1,0,3,42.75,3.1,1,1,0,0.0,0.0,1
TIP-00208,USR-0208,west,new_user,ios,treatment,0,0,4,19.73,2.73,1,1,0,0.0,0.0,0
TIP-00209,USR-0209,north,casual,android,treatment,0,0,1,20.97,2.94,1,1,0,0.0,0.0,1
TIP-00210,USR-0210,south,power_user,web,control,0,0,2,24.78,2.6,1,0,0,0.0,0.0,0
TIP-00211,USR-0211,east,new_user,ios,control,1,1,3,26.83,3.34,1,0,0,0.0,0.0,0
TIP-00212,USR-0212,west,casual,android,treatment,1,0,4,31.98,3.88,1,1,0,0.0,0.0,1
TIP-00213,USR-0213,north,power_user,web,control,0,0,1,34.13,2.6,1,1,1,0.1453,4.96,1
TIP-00214,USR-0214,south,new_user,ios,control,0,0,2,37.19,2.98,1,0,0,0.0,0.0,0
TIP-00215,USR-0215,east,casual,android,treatment,0,0,3,41.94,2.6,1,0,0,0.0,0.0,0
TIP-00216,USR-0216,west,power_user,web,treatment,1,0,4,44.14,3.92,1,1,1,0.1374,6.06,1
TIP-00217,USR-0217,north,new_user,ios,control,1,0,1,19.51,3.34,1,0,0,0.0,0.0,0
TIP-00218,USR-0218,south,casual,android,treatment,0,1,2,22.05,3.15,1,1,0,0.0,0.0,1
TIP-00219,USR-0219,east,power_user,web,treatment,0,0,3,23.6,3.11,1,1,0,0.0,0.0,1
TIP-00220,USR-0220,west,new_user,ios,control,0,0,4,27.09,3.45,1,1,1,0.1665,4.51,1
TIP-00221,USR-0221,north,casual,android,control,1,0,1,32.35,3.0,1,1,1,0.1026,3.32,1
TIP-00222,USR-0222,south,power_user,web,treatment,1,0,2,32.88,2.86,1,0,0,0.0,0.0,0
TIP-00223,USR-0223,east,new_user,ios,control,0,0,3,36.76,2.85,1,1,1,0.1498,5.51,1
TIP-00224,USR-0224,west,casual,android,control,0,0,4,41.59,3.01,1,0,0,0.0,0.0,0
TIP-00225,USR-0225,north,power_user,web,treatment,0,1,1,44.04,2.61,1,1,0,0.0,0.0,1
TIP-00226,USR-0226,south,new_user,ios,treatment,1,0,2,19.31,3.79,1,1,1,0.164,3.17,1
TIP-00227,USR-0227,east,casual,android,control,1,0,3,21.53,3.28,1,0,0,0.0,0.0,0
TIP-00228,USR-0228,west,power_user,web,treatment,0,0,4,24.77,3.49,1,1,1,0.1605,3.98,1
TIP-00229,USR-0229,north,new_user,ios,treatment,0,0,1,27.28,3.19,1,1,1,0.1577,4.3,1
TIP-00230,USR-0230,south,casual,android,control,0,0,2,31.05,3.16,1,1,0,0.0,0.0,0
TIP-00231,USR-0231,east,power_user,web,control,1,0,3,34.88,3.69,1,0,0,0.0,0.0,0
TIP-00232,USR-0232,west,new_user,ios,treatment,1,1,4,36.69,3.34,1,1,1,0.1519,5.57,1
TIP-00233,USR-0233,north,casual,android,control,0,0,1,39.5,2.96,1,0,0,0.0,0.0,0
TIP-00234,USR-0234,south,power_user,web,control,0,0,2,43.6,2.66,1,0,0,0.0,0.0,0
TIP-00235,USR-0235,east,new_user,ios,treatment,0,0,3,17.01,3.4,1,1,1,0.1596,2.71,0
TIP-00236,USR-0236,west,casual,android,treatment,1,0,4,21.78,3.49,1,1,1,0.1337,2.91,1
TIP-00237,USR-0237,north,power_user,web,control,1,0,1,25.33,3.67,1,0,0,0.0,0.0,0
TIP-00238,USR-0238,south,new_user,ios,treatment,0,0,2,28.71,3.56,1,0,0,0.0,0.0,0
TIP-00239,USR-0239,east,casual,android,treatment,0,1,3,30.73,3.13,1,1,0,0.0,0.0,1
TIP-00240,USR-0240,west,power_user,web,control,0,0,4,33.15,3.42,1,1,0,0.0,0.0,1
TIP-00241,USR-0241,north,new_user,ios,control,1,0,1,38.58,3.77,1,0,0,0.0,0.0,0
TIP-00242,USR-0242,south,casual,android,treatment,1,0,2,41.82,3.51,1,0,0,0.0,0.0,0
TIP-00243,USR-0243,east,power_user,web,control,0,0,3,42.48,3.51,1,0,0,0.0,0.0,0
TIP-00244,USR-0244,west,new_user,ios,control,0,0,4,17.66,2.69,1,0,0,0.0,0.0,0
TIP-00245,USR-0245,north,casual,android,treatment,0,0,1,20.99,2.86,1,1,0,0.0,0.0,1
TIP-00246,USR-0246,south,power_user,web,treatment,1,1,2,24.48,3.0,1,1,1,0.152,3.72,1
TIP-00247,USR-0247,east,new_user,ios,control,1,0,3,27.74,3.21,1,1,0,0.0,0.0,0
TIP-00248,USR-0248,west,casual,android,treatment,0,0,4,31.42,2.58,1,1,1,0.161,5.06,1
TIP-00249,USR-0249,north,power_user,web,treatment,0,0,1,33.67,3.22,1,1,1,0.118,3.97,1
TIP-00250,USR-0250,south,new_user,ios,control,0,0,2,36.36,2.96,1,1,0,0.0,0.0,1
TIP-00251,USR-0251,east,casual,android,control,1,0,3,41.33,2.89,1,1,1,0.1094,4.52,1
TIP-00252,USR-0252,west,power_user,web,treatment,1,0,4,43.08,2.99,1,1,1,0.1274,5.49,1
TIP-00253,USR-0253,north,new_user,ios,control,0,1,1,17.36,2.91,1,0,0,0.0,0.0,0
TIP-00254,USR-0254,south,casual,android,control,0,0,2,21.6,3.41,1,0,0,0.0,0.0,0
